id,label.fr,label.en,name.fr,name.en
MH-16,Maloelap,Maloelap,Maloelap,Maloelap
MH-17,Mejit,Mejit,Mejit,Mejit
MH-18,Mili,Mili,Mili,Mili
MH-19,Namdrik,Namdrik,Namdrik,Namdrik
MH-20,Namu,Namu,Namu,Namu
MH-21,Rongelap,Rongelap,Rongelap,Rongelap
MH-22,Ujae,Ujae,Ujae,Ujae
MH-24,Utirik,Utirik,Utirik,Utirik
MH-25,Wotho,Wotho,Wotho,Wotho
MH-26,Wotje,Wotje,Wotje,Wotje
MP,Îles Mariannes du Nord,Northern Mariana Islands,Îles Mariannes du Nord,Northern Mariana Islands
MP-1,Saipan,Saipan,Saipan,Saipan
MP-2,Tinian,Tinian,Tinian,Tinian
MP-3,Rota,Rota,Rota,Rota
NC,Nouvelle-Calédonie,New Caledonia,Nouvelle-Calédonie,New Caledonia
NC-1,Îles Loyauté,Loyalty Islands,Îles Loyauté,Loyalty Islands
NC-2,Province Nord,Northern Province,Province Nord,Northern Province
NC-3,Province Sud,Southern Province,Province Sud,Southern Province
NR,Nauru,Nauru,Nauru,Nauru
NR-1,Yaren,Yaren,Yaren,Yaren
NR-2,Boe,Boe,Boe,Boe
NR-3,Aiwo,Aiwo,Aiwo,Aiwo
NR-4,Buada,Buada,Buada,Buada
NR-5,Denigomodu,Denigomodu,Denigomodu,Denigomodu
NR-6,Nibok,Nibok,Nibok,Nibok
NR-7,Uaeboe,Uaeboe,Uaeboe,Uaeboe
NR-8,Baitsi,Baitsi,Baitsi,Baitsi
NR-9,Ewa,Ewa,Ewa,Ewa
NR-13,Anibare,Anibare,Anibare,Anibare
NR-10,Anetan,Anetan,Anetan,Anetan
NR-11,Anabar,Anabar,Anabar,Anabar
NR-12,Ijuw,Ijuw,Ijuw,Ijuw
NR-14,Meneng,Meneng,Meneng,Meneng
NR-15,Location,Location,Location,Location
NU,Niue,Niue,Niue,Niue
NU-50,Alofi South,Alofi South,Alofi South,Alofi South
NU-51,Alofi North,Alofi North,Alofi North,Alofi North
NU-52,Makefu,Makefu,Makefu,Makefu
NU-53,Tuapa,Tuapa,Tuapa,Tuapa
NU-54,Namukulu,Namukulu,Namukulu,Namukulu
NU-55,Hikutavake,Hikutavake,Hikutavake,Hikutavake
NU-56,Toi,Toi,Toi,Toi
NU-57,Mutalau,Mutalau,Mutalau,Mutalau
NU-58,Lakepa,Lakepa,Lakepa,Lakepa
NU-59,Liku,Liku,Liku,Liku
NU-60,Hakupu,Hakupu,Hakupu,Hakupu
NU-61,Vaiea,Vaiea,Vaiea,Vaiea
NU-62,Avatele,Avatele,Avatele,Avatele
NU-63,Tamakautoga,Tamakautoga,Tamakautoga,Tamakautoga
PF,Polynésie française,French Polynesia,Polynésie française,French Polynesia
PF-1,Îles Australes,Îles Australes,Îles Australes,Îles Australes
PF-2,Îles du Vent,Îles du Vent,Îles du Vent,Îles du Vent
PF-3,Îles Marquises,Îles Marquises,Îles Marquises,Îles Marquises
PF-4,Îles Sous-le-Vent,Îles Sous-le-Vent,Îles Sous-le-Vent,Îles Sous-le-Vent
PF-5,Îles Tuamotu-Gambier,Îles Tuamotu-Gambier,Îles Tuamotu-Gambier,Îles Tuamotu-Gambier
PG,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua New Guinea
PG-1,Bougainville,Bougainville,Bougainville,Bougainville
PG-2,Central,Central,Central,Central
PG-3,Chimbu,Chimbu,Chimbu,Chimbu
PG-4,East New Britain,East New Britain,East New Britain,East New Britain
PG-5,East Sepik,East Sepik,East Sepik,East Sepik
PG-6,Eastern Highlands,Eastern Highlands,Eastern Highlands,Eastern Highlands
PG-7,Enga,Enga,Enga,Enga
PG-8,Gulf,Gulf,Gulf,Gulf
PG-9,Hela,Hela,Hela,Hela
PG-10,Jiwaka,Jiwaka,Jiwaka,Jiwaka
PG-11,Madang,Madang,Madang,Madang
PG-12,Manus,Manus,Manus,Manus
PG-13,Milne Bay,Milne Bay,Milne Bay,Milne Bay
PG-14,Morobe,Morobe,Morobe,Morobe
PG-15,National Capital District,National Capital District,National Capital District,National Capital District
PG-16,New Ireland,New Ireland,New Ireland,New Ireland
PG-17,Oro,Oro,Oro,Oro
PG-18,Sandaun,Sandaun,Sandaun,Sandaun
PG-19,Southern Highlands,Southern Highlands,Southern Highlands,Southern Highlands
PG-20,West New Britain,West New Britain,West New Britain,West New Britain
PG-22,Western,Western,Western,Western
PG-21,Western Highlands,Western Highlands,Western Highlands,Western Highlands
PN,Îles Pitcairn,Pitcairn,Îles Pitcairn,Pitcairn
PW,Palaos,Palau,Palaos,Palau
PW-1,Koror,Koror,Koror,Koror
PW-2,Airai,Airai,Airai,Airai
PW-3,Outlying States,Outlying States,Outlying States,Outlying States
PW-4,West Babeldaob,West Babeldaob,West Babeldaob,West Babeldaob
PW-5,East Babeldaob,East Babeldaob,East Babeldaob,East Babeldaob
SB,Salomon,Solomon Islands,Salomon,Solomon Islands
SB-1,Choiseul,Choiseul,Choiseul,Choiseul
SB-2,Western,Western,Western,Western
SB-3,Isabel,Isabel,Isabel,Isabel
SB-4,Central,Central,Central,Central
SB-5,Rennell-Bell,Rennell-Bell,Rennell-Bell,Rennell-Bell
SB-6,Guadalcanal,Guadalcanal,Guadalcanal,Guadalcanal
SB-7,Malaita,Malaita,Malaita,Malaita
SB-8,Makira-Ulawa,Makira-Ulawa,Makira-Ulawa,Makira-Ulawa
SB-9,Temotu,Temotu,Temotu,Temotu
SB-10,Honiara,Honiara,Honiara,Honiara
TK,Tokelau,Tokelau,Tokelau,Tokelau
TK-1,Anafu,Anafu,Anafu,Anafu
TK-2,Fakaofo,Fakaofo,Fakaofo,Fakaofo
TK-3,Nukunonu,Nukunonu,Nukunonu,Nukunonu
TO,Tonga,Tonga,Tonga,Tonga
TO-1,Ha'apai,Ha'apai,Ha'apai,Ha'apai
TO-2,'Eua,'Eua,'Eua,'Eua
TO-3,Niuas,Niuas,Niuas,Niuas
TO-4,Tongatapu,Tongatapu,Tongatapu,Tongatapu
TO-5,Vava'u,Vava'u,Vava'u,Vava'u
TV,Tuvalu,Tuvalu,Tuvalu,Tuvalu
TV-1,Nanumea,Nanumea,Nanumea,Nanumea
TV-2,Nanumanga,Nanumanga,Nanumanga,Nanumanga
TV-3,Niutao,Niutao,Niutao,Niutao
TV-4,Nui,Nui,Nui,Nui
TV-5,Vaitupu,Vaitupu,Vaitupu,Vaitupu
TV-6,Nukufetau,Nukufetau,Nukufetau,Nukufetau
TV-7,Funafuti,Funafuti,Funafuti,Funafuti
TV-8,Nukulaelae,Nukulaelae,Nukulaelae,Nukulaelae
TV-9,Niulakita,Niulakita,Niulakita,Niulakita
VU,Vanuatu,Vanuatu,Vanuatu,Vanuatu
VU-1,Torba,Torba,Torba,Torba
VU-2,Sanma,Sanma,Sanma,Sanma
VU-3,Penama,Penama,Penama,Penama
VU-4,Malampa,Malampa,Malampa,Malampa
VU-5,Shefa,Shefa,Shefa,Shefa
VU-6,Tafea,Tafea,Tafea,Tafea
WF,Wallis-et-Futuna,Wallis and Futuna,Wallis-et-Futuna,Wallis and Futuna
WF-1,Alo,Alo,Alo,Alo
WF-2,Sigave,Sigave,Sigave,Sigave
WF-5,Hahake,Hahake,Hahake,Hahake
WF-6,Hihifo,Hihifo,Hihifo,Hihifo
WF-7,Mua,Mua,Mua,Mua
WS,Samoa,Samoa,Samoa,Samoa
WS-1,Apia Urban Area,Apia Urban Area,Apia Urban Area,Apia Urban Area
WS-2,North West Upolu,North West Upolu,North West Upolu,North West Upolu
WS-3,Rest of Upolu,Rest of Upolu,Rest of Upolu,Rest of Upolu
WS-4,Savaii,Savaii,Savaii,Savaii
_TXPNG,Région du Pacifique (sans PNG),Pacific region (excluding PNG),Région du Pacifique (sans PNG),Pacific region (excluding PNG)
MELXPNG,Mélanésie (sans PNG),Melanesia (excluding PNG),Mélanésie (sans PNG),Melanesia (excluding PNG)
